epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1266.72,0.56507,0.94111,0.80131,0.90198,0.83775,0.85937,0.8892,0.76663,0.83736,0.85841,0.88831,0.70824,0.52089,0.90192,0.66519,0.86334,7.29918e-05,7.29918e-05,7.29918e-05
64,1286.64,0.56552,0.93813,0.81059,0.90679,0.82443,0.86941,0.89186,0.76787,0.82306,0.86631,0.88904,0.70722,0.52108,0.89953,0.67087,0.86443,7.11207e-05,7.11207e-05,7.11207e-05
65,1306.69,0.56542,0.93674,0.79854,0.90188,0.83059,0.84667,0.8907,0.76471,0.8307,0.84668,0.88982,0.70664,0.53406,0.91,0.67134,0.87052,6.92496e-05,6.92496e-05,6.92496e-05
66,1326.83,0.57169,0.9501,0.80336,0.9032,0.8553,0.8299,0.89375,0.77362,0.8548,0.82942,0.89266,0.71477,0.5231,0.89664,0.67439,0.86521,6.73785e-05,6.73785e-05,6.73785e-05
67,1346.36,0.54617,0.90587,0.77801,0.90385,0.84706,0.85551,0.89834,0.77442,0.84479,0.85476,0.8949,0.71708,0.52975,0.88849,0.66331,0.86744,6.55074e-05,6.55074e-05,6.55074e-05
68,1366.26,0.55655,0.93722,0.78646,0.90357,0.84483,0.86145,0.90319,0.77681,0.8439,0.8605,0.90175,0.71778,0.52382,0.88011,0.66281,0.86361,6.36363e-05,6.36363e-05,6.36363e-05
69,1386.32,0.56183,0.93559,0.78158,0.8996,0.85679,0.85258,0.90623,0.78075,0.85594,0.85163,0.90414,0.72308,0.5174,0.87818,0.63816,0.85777,6.17652e-05,6.17652e-05,6.17652e-05
70,1406.56,0.55696,0.94944,0.77885,0.90115,0.87119,0.83851,0.90286,0.77601,0.87031,0.83756,0.90101,0.71711,0.51785,0.89962,0.6467,0.85983,5.98941e-05,5.98941e-05,5.98941e-05
71,1426.63,0.55621,0.92938,0.77796,0.89809,0.86075,0.84932,0.90456,0.78269,0.86027,0.84885,0.90332,0.72369,0.51084,0.88967,0.63913,0.8578,5.8023e-05,5.8023e-05,5.8023e-05
72,1446.64,0.55193,0.93245,0.76386,0.90077,0.859,0.847,0.90176,0.77588,0.85746,0.84637,0.89989,0.71517,0.51573,0.89074,0.64723,0.8596,5.61519e-05,5.61519e-05,5.61519e-05
73,1466.72,0.53772,0.90253,0.76846,0.89769,0.83219,0.87446,0.90967,0.78579,0.82992,0.87194,0.90562,0.72685,0.51672,0.88912,0.63635,0.8607,5.42808e-05,5.42808e-05,5.42808e-05
74,1486.79,0.55542,0.92028,0.77316,0.90485,0.85224,0.86404,0.91025,0.78892,0.85016,0.862,0.90684,0.72916,0.51634,0.88185,0.63999,0.86061,5.24097e-05,5.24097e-05,5.24097e-05
75,1506.69,0.55161,0.92869,0.78053,0.90106,0.84807,0.87664,0.90606,0.7843,0.84757,0.87617,0.90489,0.73116,0.5134,0.88229,0.63066,0.85883,5.05386e-05,5.05386e-05,5.05386e-05
76,1526.72,0.5383,0.8993,0.74105,0.89182,0.83063,0.87743,0.90677,0.78648,0.82972,0.87648,0.90547,0.72199,0.50782,0.8746,0.63331,0.85805,4.86675e-05,4.86675e-05,4.86675e-05
77,1546.7,0.5467,0.90806,0.75991,0.90233,0.861,0.85156,0.90135,0.78308,0.86005,0.85061,0.90028,0.72328,0.50903,0.88657,0.63655,0.85638,4.67964e-05,4.67964e-05,4.67964e-05
78,1566.55,0.54223,0.90634,0.75636,0.89641,0.84525,0.88169,0.90782,0.78433,0.84478,0.88121,0.90727,0.72727,0.50989,0.88084,0.62579,0.85934,4.49253e-05,4.49253e-05,4.49253e-05
79,1586.45,0.54038,0.90683,0.744,0.89539,0.85201,0.87668,0.91152,0.78918,0.85149,0.8762,0.9107,0.72678,0.50794,0.87696,0.6135,0.85831,4.30542e-05,4.30542e-05,4.30542e-05
80,1606.76,0.54709,0.91046,0.76098,0.89549,0.86933,0.85637,0.91109,0.78926,0.86968,0.85616,0.91091,0.72634,0.50728,0.87433,0.61473,0.8584,4.11831e-05,4.11831e-05,4.11831e-05
81,1626.89,0.53512,0.90877,0.75114,0.893,0.8667,0.86565,0.91051,0.78834,0.87248,0.85793,0.91066,0.73486,0.51166,0.86988,0.60738,0.86194,3.9312e-05,3.9312e-05,3.9312e-05
82,1646.77,0.52875,0.89787,0.72439,0.89191,0.84718,0.89042,0.91441,0.79139,0.84925,0.88813,0.91434,0.73011,0.50483,0.88464,0.59927,0.85649,3.74409e-05,3.74409e-05,3.74409e-05
83,1666.91,0.53748,0.89534,0.73926,0.89462,0.85094,0.87517,0.9095,0.78731,0.85097,0.87519,0.90926,0.72706,0.50522,0.88271,0.61332,0.85616,3.55698e-05,3.55698e-05,3.55698e-05
84,1687.03,0.52317,0.88454,0.7312,0.89477,0.83933,0.87438,0.91075,0.79156,0.83942,0.87439,0.91083,0.73045,0.50766,0.87601,0.61873,0.85844,3.36987e-05,3.36987e-05,3.36987e-05
85,1707.22,0.54925,0.91893,0.73731,0.89673,0.83907,0.88071,0.91114,0.79089,0.8387,0.88025,0.91075,0.72845,0.50749,0.87969,0.60846,0.85832,3.18276e-05,3.18276e-05,3.18276e-05
86,1727.23,0.52007,0.88684,0.7268,0.89441,0.84632,0.87912,0.9091,0.78724,0.8459,0.87866,0.9083,0.72562,0.50898,0.88801,0.61268,0.85888,2.99565e-05,2.99565e-05,2.99565e-05
87,1747.2,0.53344,0.89604,0.74191,0.89493,0.85307,0.8665,0.90918,0.78799,0.85266,0.86603,0.90862,0.73046,0.50421,0.87449,0.60714,0.85697,2.80854e-05,2.80854e-05,2.80854e-05
88,1767.21,0.52161,0.89411,0.71149,0.89372,0.84704,0.87954,0.9105,0.79204,0.84348,0.87997,0.9102,0.73044,0.50351,0.8738,0.60406,0.8567,2.62143e-05,2.62143e-05,2.62143e-05
89,1787.16,0.51787,0.87244,0.71508,0.89039,0.88272,0.84889,0.91346,0.79389,0.88219,0.84841,0.91285,0.7325,0.50186,0.87437,0.60394,0.85613,2.43432e-05,2.43432e-05,2.43432e-05
90,1807.04,0.52547,0.89055,0.73375,0.8923,0.85687,0.87698,0.91121,0.79322,0.85598,0.87603,0.91064,0.73059,0.50059,0.86725,0.60717,0.85411,2.24721e-05,2.24721e-05,2.24721e-05
