epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,869.225,0.59688,0.97896,0.91863,0.91585,0.8255,0.81021,0.86677,0.7372,0.82718,0.81182,0.86635,0.68006,0.55238,0.90051,0.74646,0.86759,0.000104563,0.000104563,0.000104563
48,887.823,0.59809,0.97966,0.89006,0.91063,0.84837,0.80708,0.86894,0.73922,0.85122,0.80966,0.86894,0.68298,0.5525,0.89979,0.70483,0.86722,0.000102662,0.000102662,0.000102662
49,906.356,0.59422,0.98892,0.89129,0.91416,0.82553,0.81429,0.86524,0.7422,0.82857,0.81707,0.8671,0.69027,0.55202,0.91636,0.71244,0.86841,0.000100762,0.000100762,0.000100762
50,925.098,0.58873,0.9596,0.88038,0.91198,0.80636,0.83621,0.86919,0.73974,0.81077,0.83603,0.87027,0.68685,0.55043,0.92451,0.69168,0.871,9.88608e-05,9.88608e-05,9.88608e-05
51,944.036,0.59996,0.97475,0.89381,0.91125,0.81665,0.83241,0.8701,0.73697,0.82047,0.82991,0.87085,0.69138,0.5519,0.89777,0.69829,0.86814,9.696e-05,9.696e-05,9.696e-05
52,962.46,0.59073,0.96634,0.86213,0.91614,0.82904,0.82986,0.87485,0.74957,0.83231,0.82976,0.87538,0.69894,0.5463,0.88507,0.67902,0.86607,9.50592e-05,9.50592e-05,9.50592e-05
53,980.685,0.60689,0.98578,0.87828,0.91716,0.84423,0.81443,0.87535,0.74414,0.84533,0.81555,0.87579,0.68899,0.55041,0.90064,0.68556,0.86997,9.31584e-05,9.31584e-05,9.31584e-05
54,999.166,0.595,0.97274,0.8682,0.91347,0.84574,0.79342,0.8742,0.74838,0.84876,0.795,0.87493,0.69529,0.54693,0.89489,0.69504,0.86119,9.12576e-05,9.12576e-05,9.12576e-05
55,1017.66,0.58352,0.9376,0.8583,0.91068,0.82499,0.83463,0.88213,0.75206,0.82758,0.83586,0.88333,0.69334,0.54458,0.90549,0.66562,0.85938,8.93568e-05,8.93568e-05,8.93568e-05
56,1036.42,0.59646,0.97223,0.84669,0.9086,0.79386,0.8664,0.88073,0.74946,0.7948,0.86751,0.88093,0.69926,0.54138,0.88705,0.66544,0.86119,8.7456e-05,8.7456e-05,8.7456e-05
